study_id,include,exclude_reason,first_author,data_type,data_type_other,year,title,abstract,journal,volume,study_year_start,study_year_end,study_design,country,doi,full_text_link
140,yes,,"Lesnoff, M.",reservoir,,2010,Assessment of age at first parturition by accounting censored data: the example of small ruminants in agropastoral herds in {Senegal,"Age at first parturition (AFP) is an important reproductive trait when evaluating the herd productivity in tropical small-holder farming systems, particularly for small ruminants with high demographic turnover and commercial utilization. The article reports the AFP probability distributions calculated on goats and sheep herds monitored for more than 10 years in three low-input livestock farming systems located from northern to southern Senegal (Louga, Kaymor, and Kolda) and representing different agroecological conditions and animal phenotypes. The AFP distributions were estimated with the Kaplan-Meier (KM) survival analysis accounting for censoring (females lost to follow-up before their first parturition). When measured by the KM estimator of the AFP median, the precocity for both species was almost 4 months later in Louga than in Kaymor and Kolda. In Louga, the precocity was 1.6 months later for sheep than for goats and 2.9 months in Kaymor and Kolda. These estimates were higher than those obtained with the common and crude approach that removes censored data before calculation (relative bias ranged from -12\% to -22\% for the AFP mean depending on species and site) and those already published in previous studies on the same data sets. In on-farm small ruminant studies focusing on reproductive traits such as AFP distributions, we recommend using survival models (e.g., the KM method) to avoid potential biases due to data censoring.",Tropical Animal Health and Production,42,1984,1995,longitudinal_study,senegal,10.1007/s11250-010-9540-3,
141,yes,,"Snow, W. F.",reservoir,,1983,"The attractiveness of some birds and mammals for mosquitoes in {The} {Gambia}, {West} {Africa","In separate experiments in a savanna area of The Gambia, mosquitoes attacking chickens, pigeons, ducks, goats, a man and a calf were compared in baited traps. Anopheles melas and Culex thalassius were common at all baits, but An. melas predominated only in the catches from mammals, where it formed 60-75\% of the total catch. Aedes spp., mainly Ae. albocephalus and Ae. punctothoracis, and C. tritaeniorhynchus were a significant component in the mammal-baited catches but were poorly represented at avian baits. In contrast, C. invidiosus, C. neavei, C. tigripes and C. weschei made up a major part (20-32\%) of the catches only in the bird-baited traps. Freshwater An. gambiae, probably An. gambiae s.s., were separated from An. melas on palpal index measurements. An. gambiae was taken in significantly larger numbers at man compared with the other baits where few were identified, demonstrating the extreme anthropophily of this species.",Annals of Tropical Medicine and Parasitology,77,1972,1972,cross_sectional,gambia,,
142,,,"Ranque, P.",reservoir,,1974,"[{Avicanthis} niloticus (rodent, {Muridae}), a reservoir of the virus causing leischmaniasis in {Senegal}]",,"Arvicanthis niloticus (rongeur, Muride), reservoir de virus de base de leishmaniose au Senegal",67,,,,,,
143,no,no location data ,"Bourgoin, J.",reservoir,,2022,"Beyond controversy, putting a livestock footprint on the map of the {Senegal} {River} delta","The Senegalese delta, like many other agricultural territories in the Global South, is experiencing changes in agricultural trajectory. These changes are related to the promotion of competitive and performance-based forms of agriculture. In a context of tense relations between farmers and herders, the quest for equitable access to land, which is a guarantee of peace, stability, and balanced economic and social development, is being called into question by the arrival of capital investors and new actors that are highly supported by the State. This situation raises questions about two important issues: (i) the challenge of the sustainable management of natural resources, especially land; and (ii) the socio-political stakes related to the fact that land is a sensitive resource, both politically and socially. The situation is exacerbated by the fact that dominant discourses are being built around representation of unused and available lands. The aim of this article is to address this controversy by questioning land-use planning processes and tools and underlining the reality depicted. We demonstrate that discourses around land availability are built upon sectoral visions that tend to overshadow the realities of land use. Indeed, livestock farming and particularly its mobile form (i.e., pastoralism) is rendered invisible by not being considered in the majority of land-use and agricultural policies. Through a participatory survey of campsites, we show that gathering basic information on livestock farming should not to be reduced to technical issues. Beyond that, we acknowledge that these land-use issues are rooted in sector-based and neoliberal visions of development. We conclude by discussing the importance of effective decentralization in financial and technical means and the development of systemic proficiency that goes beyond normative sectoral views to acknowledge and act on territorial development.",Land Use Policy,120,,,,,10.1016/j.landusepol.2022.106232,
144,yes,,"Bennett, G. F.",reservoir,,1978,Blood parasites of some birds from {Senegal,"A total of 809 birds from Senegal, including 43 species and 21 families, were examined for hematozoans; 93 birds (11.5\%) harbored blood parasites, with only 7 (7.5\%) harboring mixed infections. Species of Haemoproteus occurred in 81.7\% of the infected birds while species of Plasmodium. Trypanosoma, microfilaria and Leucocytozoon were encountered less frequently. The majority of the sample was composed of species of ploceids and estrildidis and blood parasites were most prevalent in the colonial-nesting ploceids. Prevalence of blood parasites in Senegal was low in comparison to that seen in birds from other parts of Africa.",Journal of Wildlife Diseases,14,1975,1976,cross_sectional,senegal,,
145,yes,,"Ganem, G.",reservoir,,1995,Body size variability and water balance: a comparison between mainland and island populations of {Mastomys} huberti ({Rodentia}: {Muridae}) in {Senegal,"Generally rodents are found to be larger on islands than on the mainland. However, there are some exceptions to this rule, and the aim of this paper is to examine one of them. On the mainland of Senegal, Mastomys huberti occupies humid habitats. However, it occurs also on dry and sandy islands (Saloum delta), where its representatives are dwarf. Since water availability appeared to be the limiting factor in these islands when compared to the mainland, we studied water turnover characteristics in relation to body size, in mainland and island populations at the end of the dry season, under both field and laboratory conditions. All populations were found to be water balanced in their natural habitats. They presented similar rates of water turnover, even though island animals were subjected to stronger constraints than mainland ones. Laboratory experiments suggested that the physiological plasticity of one of the island populations may be reduced. Island populations have a higher kidney size to body weight ratio than those from the mainland. We propose that smaller size in the islands allows the maintenance of water balance with a smaller amount of water, and that a higher ratio of kidney filtration surface to body size may help Mastomys huberti to survive in dry islands. We discuss the factors responsible for body size variability and variation in water exchange characteristics and conclude that different factors could explain body size variation among island populations, depending on the species considered and the ecological constraints met within the islands.",Experientia,51,1991,1991,cross_sectional,senegal,,
146,yes,,"Diatta, G.",reservoir,,2015,Borrelia infection in small mammals in {West} {Africa} and its relationship with tick occurrence inside burrows,"Tick-borne relapsing fever (TBRF) is a zoonotic disease caused by several Borrelia species transmitted to humans by Ornithodoros tick vectors. In West Africa, Borrelia crocidurae is a common cause of disease in many rural populations. Small mammals act as reservoirs of infection. We report here the results of surveys that investigated the occurrence of B. crocidurae infection in rodents and insectivores from eight countries of West and Central Africa. Animals were identified at the species level and tested for Borrelia either by examination of thick blood film, intra-peritoneal inoculation of blood or brain tissues into laboratory mice, or by molecular techniques. A total of 4358 small mammals belonging to 38 species and 7 families were collected, including 3225 specimens collected in areas where the occurrence of Ornithodoros sonrai tick in rodent burrows was documented, and 1133 in areas where this tick was absent. In areas with O. sonrai, Borrelia infection was demonstrated in 287 of 3109 (9.2\%) small mammals tested, and none was documented in 1004 animals tested from other areas. There was no relationship between the occurrence of Rhipicephalus, Hyaloma and Argas ticks in burrows and the distribution of Borrelia infection in small mammals. The 287 specimens infected by Borrelia belonged to 15 rodent and shrew species, including three Saharo-Sahelian species - Gerbillus gerbillus, Gerbillus occiduus and Gerbillus tarabuli - identified as reservoirs for TBRF with a distribution restricted to this area. In Sudan and Sudano-Sahelian areas, Arvicanthis niloticus, Mastomys erythroleucus and Mastomys huberti were the main reservoir of infection. Although most small mammals species collected had a large distribution in West and Central Africa, the fact that only animals collected in areas with O. sonrai were found infected suggest that this tick is the only vector of TBRF in rodents and insectivores in this part of Africa.Copyright © 2015 Elsevier B.V.",Acta Tropica,152,2008,2012,longitudinal_study,senegal,https://dx.doi.org/10.1016/j.actatropica.2015.08.016,
147,no,no data to extract,"Pruetz, J. D.",reservoir,,2010,"Brief {Communication}: {Reaction} to {Fire} by {Savanna} {Chimpanzees} (\textit{{Pan} troglodytes verus}) at {Fongoli}, {Senegal}: {Conceptualization} of ""{Fire} {Behavior}"" and the {Case} for a {Chimpanzee} {Model","The use and control of fire are uniquely human traits thought to have come about fairly late in the evolution of our lineage, and they are hypothesized to correlate with an increase in intellectual complexity. Given the relatively sophisticated cognitive abilities yet small brain size of living apes compared to humans and even early hominins, observations of wild chimpanzees' reactions to naturally occurring fire can help inform hypotheses about the likely responses of early hominins to fire. We use data on the behavior of savanna chimpanzees (Pan troglodytes verus) at Fongoli, Senegal during two encounters with wildfires to illuminate the similarities between great apes and humans regarding their reaction to fire. Chimpanzees' close relatedness to our lineage makes them phylogenetically relevant to the study of hominid evolution, and the open, hot and dry environment at Fongoli, similar to the savanna mosaic thought to characterize much of hominid evolution, makes these apes ecologically important as a living primate model as well. Chimpanzees at Fongoli calmly monitor wildfires and change their behavior in anticipation of the fire's movement. The ability to conceptualize the ""behavior"" of fire may be a synapomorphic trait characterizing the human-chimpanzee clade. If the cognitive underpinnings of fire conceptualization are a primitive hominid trait, hypotheses concerning the origins of the control and use of fire may need revision. We argue that our findings exemplify the importance of using living chimpanzees as models for better understanding human evolution despite recently published suggestions to the contrary. Am J Phys Anthropol 141:646-650, 2010. (C) 2009 Wiley-Liss, Inc.",American Journal of Physical Anthropology,141,,,,,10.1002/ajpa.21245,
148,no,no data to extract,"Stewart, F. A.",reservoir,,2011,Brief communication: {Why} sleep in a nest? empirical testing of the function of simple shelters made by wild chimpanzees,"All great apes build nightly a structure (""nest"" or ""bed"") that is assumed to function primarily as a sleeping-platform. However, several other nest function hypotheses have been proposed: antipredation, antipathogen, and thermoregulation. I tested these simple shelter functions of chimpanzee nests in an experiment for which I was the subject in Fongoli, Senegal. I slept 11 nights in chimpanzee nests and on the bare ground to test for differences in sleep quality, potential exposure to disease through bites from possible vectors, and insulation. No difference was found in the total amount of sleep nor in sleep quality; however, sleep was more disturbed on the ground. Differences in sleep disturbance between arboreal and ground conditions seemed primarily due to causes of anxiety and alertness, e.g., vocalizations of terrestrial mammals. Arboreal nest-sleeping seems to reduce risk of bites from possible disease vectors and provide insulation in cold conditions. This preliminary, but direct, test of chimpanzee nest function has implications for the evolutionary transition from limb-roosting to nest-reclining sleep in the hominoids, and from tree-to-ground sleep in the genus Homo. Copyright © 2011 Wiley-Liss, Inc.",American Journal of Physical Anthropology,146,,,,,https://dx.doi.org/10.1002/ajpa.21580,
149,yes,,"Musallam, I.",reservoir,,2019,Brucellosis in dairy herds: {A} public health concern in the milk supply chains of {West} and {Central} {Africa,"Ten herd-level cross-sectional studies were conducted in peri-urban dairy production areas of seven West and Central African countries (Burkina Faso, Burundi, Cameroon, Mali, Niger, Senegal and Togo). The objectives were to estimate herd level Brucella spp. seroprevalence and identify risk factors for seropositivity. In each of the ten study areas, herds (between 52 and 142 per area, total = 965) were selected probabilistically and a structured questionnaire was administered to gather information on their structure and management. A bulk milk sample from each herd was tested by indirect ELISA for Brucella spp. For each area, herd seroprevalence estimates were obtained after adjusting for the assumed performance of the diagnostic test. Herd level risk factors for Brucella spp. seropositivity were identified by means of stratified logistic regression, with each peri-urban zone as a stratum. Area-specific models were also explored. Estimated herd seroprevalences were: Lome (Togo) 62.0\% (95\% CI:55.0-69.0), Bamako (Mali) 32.5\% (95\% CI:28.0-37.0), Bujumbura (Burundi) 14.7\% (95\%CI:9.4-20.8), Bamenda (Cameroon) 12.6\% (95\% CI:7.6-21.9), Ouagadougou (Burkina Faso) 3.0\% (95\% CI:1.0-9.1), Ngaoundere (Cameroon) 2.3\% (95\% CI:1.0-7.0), Thies (Senegal) 1.3\% (95\% CI:0.1, 5.3), Niamey (Niger) 1.2\% (95\% CI:0.08-5.3), Dakar (Senegal) 0.2\% (95\% CI:0.01-1.7) and Niakhar (Senegal) {\textless}0.04\%. Logistic regression modelling revealed transhumant herds to be at lower risk of infection (adjusted OR: 0.25, 95\% CI: 0.13 - 0.5) and in one of the areas (Bamenda), regular purchase of new animals was found to be strongly associated with Brucella spp. seropositivity (adjusted OR = 5.3, 95\% CI: 1.4-25.9). Our findings confirm that Brucella spp. circulates among dairy cattle supplying milk to urban consumers in West and Central Africa, posing a serious public health concern. Control programs are urgently needed in areas such as Lome or Bamako, where more than 30\% of the herds show evidence of infection.Copyright © 2019 The Authors",Acta Tropica,197,2017,2018,cross_sectional,senegal,https://dx.doi.org/10.1016/j.actatropica.2019.105042,
150,no,no data from other refs in list,"Craighead, L.",reservoir,,2022,Brucellosis in dairy herds: {Farm} characteristics and practices in relation to likely adoption of three potential private-public partnership ({PPP}) vaccination control strategies in {West} and {Central} {Africa,"Brucellosis is regarded as one of the highest burden zoonotic diseases to persist in many regions globally. While sustained vaccination against B. abortus in an endemic setting can markedly reduce the prevalence of large ruminant and human brucellosis and benefit local livelihoods, the implementation of effective and sustainable control programmes has often failed in the worst affected areas. In a cross-sectional study of 728 peri-urban dairy farmers in nine areas of six West and Central African countries, levels of commercialization and farm characteristics were examined alongside B. abortus seroprevalence estimates to hypothesize the most appropriate model for brucellosis vaccination delivery in each country. Demographic and economic data were collated and used to describe the farming systems currently in place. Furthermore, these data were utilized in a likelihood assessment to generate a quantitative score to hypothesize which of three private-public partnership (PPP) vaccine delivery models, that is 1) transformative, 2) transactional or 3) collaborative, would be most appropriate in each setting. The study sites had substantial differences in their levels of dairy commercialization and the farming practices employed; the heterogeneity across the study sites was evident in the conclusions of which models would be appropriate for vaccination delivery. While Lome (Togo) had a strong indication for a transformative PPP model, Burkina Faso had strong indication for the collaborative PPP model. Of the remaining study sites, the scores were less dominant for any one model with Cameroon and Ivory Coast sites only just scoring highest on the transformative model and Senegal and Mali sites only just scoring highest on the collaborative model. Interestingly, none of the countries included in the study scored highest on the transactional model which currently is the most commonplace delivery model in the majority of sub-Saharan African countries.",Transboundary and Emerging Diseases,69,,,,,10.1111/tbed.14114,
151,no,no data to extract,"Craighead, L.",reservoir,,2018,Brucellosis in {West} and {Central} {Africa}: {A} review of the current situation in a changing landscape of dairy cattle systems,"Brucellosis is a neglected endemic zoonosis in West and Central Africa. In this narrative review, evidence of livestock and human infection is presented along with details of past and current control strategies in 14 selected countries. Data from available literature is combined with expert opinion elicited during a regional workshop on brucellosis diagnostics. Demographic changes that affect both the epidemiology of brucellosis and the success of control or surveillance are also considered. The evidence suggests that brucellosis prevalence in emerging periurban dairy cattle systems may be higher than that found in traditional transhumant extensive systems. Accurate microbiological and epidemiological evidence across the region is lacking but it appears there is inherent interest in controlling the disease. There are many data gaps which require collaborative future research to evaluate fully the social and economic impact of the disease in an evolving livestock sector heavily influenced by high rates of urbanisation and regional population growth.",Acta Tropica,179,,,,,10.1016/j.actatropica.2017.12.026,
152,no,irrelevant,"Gaye, P. M.",reservoir,,2021,"Bulinus senegalensis and {Bulinus} umbilicatus snail infestations by the {Schistosoma} haematobium group in {Niakhar}, {Senegal","Thorough knowledge of the dynamics of Bulinus spp. infestation could help to control the spread of schistosomiasis. This study describes the spatio-temporal dynamics of B. senegalensis and B. umbilicatus infestation by the Schistosoma haematobium group of blood flukes in Niakhar, Senegal. Molecular identification of the S. haematobium group was performed by real-time PCR, targeting the Dra 1 gene in 810 samples of Bulinus spp. collected during the schistosomiasis transmission season in 2013. In addition to Dra 1 PCR, a rapid diagnostic-PCR was performed on a sub-group of 43 snails to discriminate S. haematobium, S. bovis, and S. mattheei. Out of 810 snails, 236 (29.1\%) were positive for Dra 1 based on the PCR, including 96.2\% and 3.8\% of B. senegalensis and B. umbilicatus, respectively. Among the sub-group, 16 samples were confirmed to be S. haematobium while one was identified as a mixture of S. haematobium and S. bovis. Snails infestations were detected in all villages sampled and infestation rates ranged from 15.38\% to 42.11\%. The prevalence of infestation was higher in the north (33.47\%) compared to the south (25.74\%). Snail populations infestations appear early in the rainy season, with a peak in the middle of the season, and then a decline towards the end of the rainy season. Molecular techniques showed, for the first time, the presence of S. bovis in the Bulinus spp. population of Niakhar. The heterogeneity of snail infestations at the village level must be taken into account in mass treatment strategies. Further studies should help to improve the characterizations of the schistosome population.Copyright © 2021 by the authors.",Pathogens,10,,,,,https://dx.doi.org/10.3390/pathogens10070860,
153,no,no location data ,"Tebug, S. F.",reservoir,,2015,"Calf management practices, challenges and opportunities in traditional cattle production systems in the {Peanut} {Basin} of {Senegal","Calf management in traditional cattle herds in many parts of the tropics receive less attention as compared to immediate income-generating cows or bulls. Information on long-term implications of poorly reared young stock is limited. A study to assess practices, challenges and opportunities during rearing of less than 12-month-old calves in traditional cattle herds in the Peanut Basin of Senegal was carried out. Data were collected on 207 farms through farm visits and completion of a questionnaire. Categorical principal component analysis followed by two-step cluster analysis identified two cattle production systems: livestock based (LB: 47.83 \%) and livestock-crop based (LCB, 52.17 \%). On average, 2.81 +/- 0.15 calves were reared per farm. Calves were weaned at the age of 12.27 +/- 0.32 months. A majority of the calves were of indigenous breeds (71.37 \%) and were meant to serve as replacement stock (74.23 \%). The tropical livestock unit for cattle owned was significantly lower in LB compared to LCB farms (12.71 vs. 18.85). Significantly higher number of farmers owned non-indigenous calves, had clean calf rearing area and reported feed availability in LB farms as compared to LCB farms. A majority of farmers (98.50 \%) perceived calf morbidity and mortality as a major challenge in calf rearing. Meanwhile, labour was readily available to assist with calf rearing in 88.24 \% of farms in both systems. Capacity building on improve husbandry practices could enhance calf survival and productivity in surveyed farms. Studies to better identify health and feeding constraints of calves will be necessary to define intervention targets.",Tropical Animal Health and Production,47,,,,,10.1007/s11250-015-0782-y,
154,yes,,"Wacher, T. J.",reservoir,,1993,Cattle migration and stocking densities in relation to tsetse-trypanosomiasis challenge in {The} {Gambia,"The local migration of village N'Dama cattle between two study sites, Niamina East and Bansang, 40 km apart in the inland region of The Gambia, West Africa, is described. The consequences of seasonal variations in local stocking densities on the epidemiology of African animal trypanosomiasis are reported. Tsetse abundance at each study site was monitored throughout the study period from trap catches, and cattle censuses at each site were carried out on a monthly basis. Detailed ecological, productivity and health data, including dietary intake and trypanosomiasis prevalence, were collected from selected study herds resident at the two sites and from a third group of (four) herds that migrated annually between the two areas to spend the late dry season period in Niamina East. It was shown that the migration strategy allowed migrants to maintain a high level of green grazing in the diet throughout the year. Cattle were moved to the area of highest tsetse density in the region to obtain this grazing, but it appeared that individual risk of trypanosome infection was diminished by a dilution effect created by locally high livestock densities. Trypanosomiasis prevalences in resident cattle at Niamina East were best correlated with the tsetse catch/trap/day 2 months previously, once this index of tsetse abundance had been corrected to allow for changes in relative stocking density.",Annals of Tropical Medicine and Parasitology,87,1989,1990,cross_sectional,gambia,,
