study_id,pathogen_id,associated_reservoir_id,associated_vector_id,year,month,season,pathogen_tested,population_tested,sample_size,num_pos_pcr,num_pos_ser,num_pos_other,test_other,country,location_name,topography,ecoregion,gps_latitude,gps_longitude,comment
19,45,,,1990,,,rift_valley_fever,animal,249,,92,,,senegal,dagana,desert,sahelian_acacia_savanna,16.51056251,-15.50296059,
19,46,,,1990,,,rift_valley_fever,animal,105,,9,,,senegal,dagana,desert,sahelian_acacia_savanna,16.51056251,-15.50296059,
19,47,,,1990,,,rift_valley_fever,animal,222,,60,,,senegal,podor,desert,sahelian_acacia_savanna,16.66072234,-14.95859529,
19,48,,,1990,,,rift_valley_fever,animal,259,,26,,,senegal,podor,desert,sahelian_acacia_savanna,16.66072234,-14.95859529,
19,49,,,1990,,,rift_valley_fever,animal,159,,20,,,senegal,matam,desert,sahelian_acacia_savanna,15.66024943,-13.25788065,
19,50,,,1990,,,rift_valley_fever,animal,231,,4,,,senegal,matam,desert,sahelian_acacia_savanna,15.66024943,-13.25788065,
20,51,,,2019,september,rainy,crimean_congo_haemorrhagic_fever,human,,1,,,case_report,senegal,douga,desert,sahelian_acacia_savanna,15.90648098,-13.50373016,
21,52,,,2021,july,rainy,crimean_congo_haemorrhagic_fever,vector,1956,53,,,,senegal,nabadji,desert,sahelian_acacia_savanna,15.7378981,-13.3890316,sample size is total num of pools and num pos are number of pools positive for CCHF
22,53,,,2020,all_months,both,rift_valley_fever,human,94,2,,,,senegal,ndiaye_ndiaye,,west_sudanian_savanna,13.9608855,-16.34432433,
22,54,,,2020,all_months,both,rift_valley_fever,human,226,4,,,,senegal,matam,desert,sahelian_acacia_savanna,15.66024943,-13.25788065,
22,55,,,2020,all_months,both,rift_valley_fever,human,,2,,,,senegal,saint_louis,desert,sahelian_acacia_savanna,16.03115919,-16.4809644,number of samples tested for this site not given
22,56,,,2020,all_months,both,rift_valley_fever,human,,1,,,,senegal,dakar,,west_sudanian_savanna,14.71765117,-17.46857751,number of samples tested for this site not given
23,57,38,,2006,august,rainy,trypanosoma_congolense,animal,276,80,,,,gambia,sambelkunda,,west_sudanian_savanna,13.66536638,-14.97566927,
23,58,39,,2006,august,rainy,trypanosoma_congolense,animal,75,26,,,,gambia,sambelkunda,,west_sudanian_savanna,13.66536638,-14.97566927,
23,59,40,,2006,august,rainy,trypanosoma_congolense,animal,169,27,,,,gambia,sambelkunda,,west_sudanian_savanna,13.66536638,-14.97566927,
24,60,,,1986,november,dry,crimean_congo_haemorrhagic_fever,human,150,,17,,,senegal,rosso,,sahelian_acacia_savanna,16.5002779,-15.80422558,
24,61,,,1986,november,dry,crimean_congo_haemorrhagic_fever,human,91,,5,,,senegal,dagana,,sahelian_acacia_savanna,16.51056251,-15.50296059,
24,62,,,1986,november,dry,crimean_congo_haemorrhagic_fever,human,106,,5,,,senegal,dahra,,west_sudanian_savanna,15.35638227,-15.48061172,
24,63,,,1986,november,dry,crimean_congo_haemorrhagic_fever,human,128,,27,,,senegal,yonofere,,west_sudanian_savanna,15.28108959,-14.39509536,
24,64,,,1986,november,dry,crimean_congo_haemorrhagic_fever,human,93,,3,,,senegal,bandia,,west_sudanian_savanna,14.62547031,-17.01797222,
24,65,,,1986,november,dry,crimean_congo_haemorrhagic_fever,human,84,,1,,,senegal,tambacounda,,west_sudanian_savanna,13.77426198,-13.66926128,
24,66,,,1986,november,dry,crimean_congo_haemorrhagic_fever,human,225,,2,,,senegal,kedougou,highlands,west_sudanian_savanna,12.56142659,-12.17128667,
24,67,,,1986,november,dry,crimean_congo_haemorrhagic_fever,human,140,,1,,,senegal,ziguinchor,,guinean_forest_savanna_mosaic,12.56365266,-16.26208013,
24,68,41,,1986,november,dry,crimean_congo_haemorrhagic_fever,animal,92,,35,,,senegal,saint_louis,,sahelian_acacia_savanna,16.03115919,-16.4809644,
24,69,42,,1986,november,dry,crimean_congo_haemorrhagic_fever,animal,390,,42,,,senegal,louga,,sahelian_acacia_savanna,15.65191408,-16.24297533,
24,70,43,,1986,november,dry,crimean_congo_haemorrhagic_fever,animal,48,,0,,,senegal,thies,,west_sudanian_savanna,14.79049824,-16.93620946,
24,71,44,,1986,november,dry,crimean_congo_haemorrhagic_fever,animal,44,,4,,,senegal,diourbel,,west_sudanian_savanna,14.65561167,-16.2360584,
24,72,45,,1986,november,dry,crimean_congo_haemorrhagic_fever,animal,41,,9,,,senegal,fatick,,west_sudanian_savanna,14.33898566,-16.41200815,
24,73,46,,1986,november,dry,crimean_congo_haemorrhagic_fever,animal,65,,3,,,senegal,kaolack,,west_sudanian_savanna,14.16116194,-16.08495934,
24,74,47,,1986,november,dry,crimean_congo_haemorrhagic_fever,animal,96,,0,,,senegal,tambacounda,,west_sudanian_savanna,13.77426198,-13.66926128,
24,75,48,,1986,november,dry,crimean_congo_haemorrhagic_fever,animal,133,,0,,,senegal,kolda,,guinean_forest_savanna_mosaic,12.90069235,-14.94257852,
24,76,49,,1986,november,dry,crimean_congo_haemorrhagic_fever,animal,37,,0,,,senegal,ziguinchor,,guinean_forest_savanna_mosaic,12.56365266,-16.26208013,
27,77,,,1999,july,rainy,rift_valley_fever,human,1520,,79,,,senegal,diawara,,sahelian_acacia_savanna,15.0184461,-12.54245014,
28,78,,,2014,september,rainy,ebola,human,75,1,,,,senegal,dakar,,west_sudanian_savanna,14.71765117,-17.46857751,sample size was the contacts of the single imported case of ebola to senegal
29,79,50,,2003,july_to_october,rainy,rift_valley_fever,animal,57,,0,,,senegal,barkedji,,sahelian_acacia_savanna,15.27752643,-14.86701138,
29,80,51,,2004,july_to_october,rainy,rift_valley_fever,animal,30,,0,,,senegal,barkedji,,sahelian_acacia_savanna,15.27752643,-14.86701138,
29,81,52,,2003,july_to_october,rainy,rift_valley_fever,animal,39,,1,,,senegal,furdu,,sahelian_acacia_savanna,15.241429,-14.851091,
29,82,53,,2004,july_to_october,rainy,rift_valley_fever,animal,28,,2,,,senegal,furdu,,sahelian_acacia_savanna,15.241429,-14.851091,
29,83,54,,2003,july_to_october,rainy,rift_valley_fever,animal,52,,14,,,senegal,kangaledji,,sahelian_acacia_savanna,15.265711,-14.834741,
29,84,55,,2004,july_to_october,rainy,rift_valley_fever,animal,39,,0,,,senegal,kangaledji,,sahelian_acacia_savanna,15.265711,-14.834741,
29,85,56,,2003,july_to_october,rainy,rift_valley_fever,animal,75,,3,,,senegal,ngao,,sahelian_acacia_savanna,15.21819889,-14.79712467,
29,86,57,,2004,july_to_october,rainy,rift_valley_fever,animal,47,,2,,,senegal,ngao,,sahelian_acacia_savanna,15.21819889,-14.79712467,
29,87,58,,2003,july_to_october,rainy,rift_valley_fever,animal,45,,5,,,senegal,niaka,,sahelian_acacia_savanna,15.29624869,-14.90269287,
29,88,59,,2004,july_to_october,rainy,rift_valley_fever,animal,33,,2,,,senegal,niaka,,sahelian_acacia_savanna,15.29624869,-14.90269287,
36,89,,,2017,april,dry,trypanosoma_congolense,animal,19,,,1,microscopy,gambia,sambel_kunda,,west_sudanian_savanna,13.553951,-15.261506,
36,90,,,2017,may,dry,trypanosoma_congolense and trypanosoma_vivax,animal,40,,,2,microscopy,gambia,kuli_kunda,,guinean_forest_savanna_mosaic,13.33790581,-15.92131894,
36,91,,,2017,may,dry,trypanosoma_congolense,animal,37,,,1,microscopy,gambia,karantaba,,guinean_mangroves,13.35226565,-16.15245381,
36,92,,,2017,may,dry,trypanosoma_congolense and trypanosoma_vivax,animal,40,,,2,microscopy,gambia,tankular,,guinean_forest_savanna_mosaic,13.41742104,-16.0334578,
36,93,,,2017,april,dry,trypansosomiasis,animal,32,,,0,microscopy,gambia,yerro_bere_kunda,,west_sudanian_savanna,13.50298469,-14.74165985,
36,94,,,2017,april,dry,trypansosomiasis,animal,30,,,0,microscopy,gambia,yerro_bere_kunda,,west_sudanian_savanna,13.50298469,-14.74165985,
36,95,,,2017,june,dry,trypansosomiasis,animal,10,,,0,microscopy,gambia,keneba,,guinean_forest_savanna_mosaic,13.33135085,-16.01034911,
36,96,,,2017,june,dry,trypansosomiasis,animal,10,,,0,microscopy,gambia,keneba,,guinean_forest_savanna_mosaic,13.33135085,-16.01034911,
36,97,,,2017,june,dry,trypanosoma_congolense,animal,19,,,1,microscopy,gambia,jali,,guinean_forest_savanna_mosaic,13.35171854,-15.96781157,
38,98,69,,,,,rift_valley_fever,animal,46,,12,,,gambia,keneba,,guinean_forest_savanna_mosaic,13.33363555,-16.00944323,
38,99,70,,,,,rift_valley_fever,animal,46,,25,,,gambia,keneba,,guinean_forest_savanna_mosaic,13.33363555,-16.00944323,
44,100,,25,1995,november,dry,yellow_fever,vector,699,19,,,,senegal,koungheul,,west_sudanian_savanna,13.9800968,-14.80110891,
44,101,,26,1995,november,dry,yellow_fever,vector,21,2,,,,senegal,koungheul,,west_sudanian_savanna,13.9800968,-14.80110891,
44,102,,27,1995,november,dry,yellow_fever,vector,1,1,,,,senegal,koungheul,,west_sudanian_savanna,13.9800968,-14.80110891,
44,103,,28,1995,november,dry,yellow_fever,vector,1,1,,,,senegal,koungheul,,west_sudanian_savanna,13.9800968,-14.80110891,
44,104,,29,1995,november,dry,yellow_fever,vector,5,0,,,,senegal,koungheul,,west_sudanian_savanna,13.9800968,-14.80110891,
44,105,,30,1995,november,dry,yellow_fever,vector,1,0,,,,senegal,koungheul,,west_sudanian_savanna,13.9800968,-14.80110891,
44,106,,31,1995,november,dry,yellow_fever,vector,1,0,,,,senegal,koungheul,,west_sudanian_savanna,13.9800968,-14.80110891,
44,107,,32,1995,november,dry,yellow_fever,vector,3,0,,,,senegal,koungheul,,west_sudanian_savanna,13.9800968,-14.80110891,
45,108,,,2019,,,avian_influenza,human,,1,,,case_report,senegal,ziguinchor,,guinean_forest_savanna_mosaic,12.56365266,-16.26208013,
50,109,,,2021,june_to_october,rainy,rift_valley_fever,human,,,36,,,senegal,agnam_civol,desert,sahelian_acacia_savanna,16.00702664,-13.68722412,
50,110,,,2021,novermber_to_may,dry,rift_valley_fever,human,,,17,,,senegal,agnam_civol,desert,sahelian_acacia_savanna,16.00702664,-13.68722412,
50,111,,,2021,june_to_october,rainy,rift_valley_fever,animal,,,17,,,senegal,idite,desert,sahelian_acacia_savanna,15.91783314,-13.71734984,
50,112,,,2021,novermber_to_may,dry,rift_valley_fever,animal,,,3,,,senegal,idite,desert,sahelian_acacia_savanna,15.91783314,-13.71734984,
51,113,,,2003,january,dry,crimean_congo_haemorrhagic_fever,human,,,1,,,senegal,popenguine,,guinean_forest_savanna_mosaic,14.55667493,-17.11139552,
53,114,,,2013_2014,april_to_march,both,rabies,human,,51,,,,senegal,dakar,,west_sudanian_savanna,14.71765117,-17.46857751,
60,115,,,1979,november,dry,yellow_fever,human,79,,74,,,senegal,toubakouta,,guinean_forest_savanna_mosaic,13.78207683,-16.46960076,
60,116,,,1979,november,dry,yellow_fever,human,26,,25,,,senegal,missirah,,guinean_forest_savanna_mosaic,13.68060122,-16.50076949,
60,117,,,1979,november,dry,yellow_fever,human,10,,4,,,senegal,keur_aliou_gueye,,guinean_forest_savanna_mosaic,13.78459294,-16.41125641,
60,118,,,1979,november,dry,yellow_fever,human,26,,25,,,senegal,foundiougne,,guinean_forest_savanna_mosaic,14.12401404,-16.46707752,
70,119,,,1993,march,dry,trypanosomiasis,animal,,,,6,prevalence,gambia,dankunku,,,13.57130384,-15.32643275,
72,120,,,2021_2022,all_months,both,crimean_congo_haemorrhagic_fever,human,335,,1,,,senegal,agnam_civol,desert,sahelian_acacia_savanna,16.00817546,-13.68320371,
72,121,,,2021_2022,all_months,both,crimean_congo_haemorrhagic_fever,animal,173,,69,,,senegal,idite,desert,sahelian_acacia_savanna,15.91783314,-13.71734984,
72,122,,,2021_2022,all_months,both,crimean_congo_haemorrhagic_fever,vector,2238,3,,,,senegal,idite,desert,sahelian_acacia_savanna,15.91783314,-13.71734984,
74,123,,,1986_1994,all_months,both,rabies,human,,,,,,senegal,dakar,,west_sudanian_savanna,14.71777469,-17.46757778,
76,124,,60,2010,september,rainy,yellow_fever,vector,69,4,,,sample size equal number of vector pools,senegal,kedougou,highlands,west_sudanian_savanna,12.56022099,-12.17433629,
76,125,,61,2010,october ,rainy,yellow_fever,vector,137,30,,,sample size equal number of vector pools,senegal,kedougou,highlands,west_sudanian_savanna,12.56022099,-12.17433629,
76,126,,62,2010,november,dry,yellow_fever,vector,53,1,,,sample size equal number of vector pools,senegal,kedougou,highlands,west_sudanian_savanna,12.56022099,-12.17433629,
76,127,,63,2010,september,rainy,yellow_fever,vector,52,4,,,sample size equal number of vector pools,senegal,kedougou,highlands,west_sudanian_savanna,12.56022099,-12.17433629,
76,128,,64,2010,october ,rainy,yellow_fever,vector,75,11,,,sample size equal number of vector pools,senegal,kedougou,highlands,west_sudanian_savanna,12.56022099,-12.17433629,
76,129,,65,2010,november,dry,yellow_fever,vector,26,6,,,sample size equal number of vector pools,senegal,kedougou,highlands,west_sudanian_savanna,12.56022099,-12.17433629,
76,130,,66,2010,september,rainy,yellow_fever,vector,14,0,,,sample size equal number of vector pools,senegal,kedougou,highlands,west_sudanian_savanna,12.56022099,-12.17433629,
76,131,,67,2010,october ,rainy,yellow_fever,vector,35,2,,,sample size equal number of vector pools,senegal,kedougou,highlands,west_sudanian_savanna,12.56022099,-12.17433629,
76,132,,68,2010,november,dry,yellow_fever,vector,33,2,,,sample size equal number of vector pools,senegal,kedougou,highlands,west_sudanian_savanna,12.56022099,-12.17433629,
78,133,,69,1983,october,rainy,rift_valley_fever,vector,,1,,,isolate,senegal,kedougou,highlands,west_sudanian_savanna,12.55539463,-12.18004146,
78,134,,,1993,november,dry,rift_valley_fever,animal,,1,,,isolate,senegal,kolda,,guinean_forest_savanna_mosaic,12.90020965,-14.94218441,
78,135,,70,1993,october,rainy,rift_valley_fever,vector,,1,,,isolate,senegal,barkedji,,sahelian_acacia_savanna,15.27755723,-14.86739345,
78,136,,,1993,october,rainy,rift_valley_fever,animal,,1,,,isolate,senegal,barkedji,,sahelian_acacia_savanna,15.27755723,-14.86739345,
78,137,,71,1993,october,rainy,rift_valley_fever,vector,,1,,,isolate,senegal,barkedji,,sahelian_acacia_savanna,15.27755723,-14.86739345,
78,138,,72,1993,october,rainy,rift_valley_fever,vector,,1,,,isolate,senegal,barkedji,,sahelian_acacia_savanna,15.27755723,-14.86739345,
78,139,,73,1998,november,dry,rift_valley_fever,vector,,1,,,isolate,senegal,diawara,,sahelian_acacia_savanna,15.01865142,-12.54385367,
78,140,,74,1998,november,dry,rift_valley_fever,vector,,1,,,isolate,senegal,diawara,,sahelian_acacia_savanna,15.01865142,-12.54385367,
78,141,,75,1998,november,dry,rift_valley_fever,vector,,1,,,isolate,senegal,diawara,,sahelian_acacia_savanna,15.01865142,-12.54385367,
78,142,,76,1998,november,dry,rift_valley_fever,vector,,1,,,isolate,senegal,diawara,,sahelian_acacia_savanna,15.01865142,-12.54385367,
78,143,,77,2002,october,rainy,rift_valley_fever,vector,,1,,,isolate,senegal,barkedji,,sahelian_acacia_savanna,15.27729708,-14.86687941,
78,144,,78,2002,november,dry,rift_valley_fever,vector,,1,,,isolate,senegal,barkedji,,sahelian_acacia_savanna,15.27729708,-14.86687941,
78,145,,79,2002,november,dry,rift_valley_fever,vector,,1,,,isolate,senegal,barkedji,,sahelian_acacia_savanna,15.27729708,-14.86687941,
78,146,,80,2002,november,dry,rift_valley_fever,vector,,1,,,isolate,senegal,barkedji,,sahelian_acacia_savanna,15.27729708,-14.86687941,
78,147,,81,2003,october,rainy,rift_valley_fever,vector,,1,,,isolate,senegal,barkedji,,sahelian_acacia_savanna,15.27729708,-14.86687941,
78,148,,82,2003,october,rainy,rift_valley_fever,vector,,1,,,isolate,senegal,barkedji,,sahelian_acacia_savanna,15.27729708,-14.86687941,
78,149,,83,2003,october,rainy,rift_valley_fever,vector,,1,,,isolate,senegal,barkedji,,sahelian_acacia_savanna,15.27729708,-14.86687941,
78,150,,84,2003,november,dry,rift_valley_fever,vector,,1,,,isolate,senegal,barkedji,,sahelian_acacia_savanna,15.27729708,-14.86687941,
79,151,,,1986_2005,all_months,both,rabies,human,,3,,,case_report,senegal,saint_louis,,sahelian_acacia_savanna,16.03478884,-16.47959111,
79,152,,,1986_2005,all_months,both,rabies,human,,6,,,case_report,senegal,louga,,sahelian_acacia_savanna,15.6132748,-16.22697984,
79,153,,,1986_2005,all_months,both,rabies,human,,7,,,case_report,senegal,diourbel,,west_sudanian_savanna,14.65661895,-16.23330982,
79,154,,,1986_2005,all_months,both,rabies,human,,9,,,case_report,senegal,thies,,west_sudanian_savanna,14.79087382,-16.93688802,
79,155,,,1986_2005,all_months,both,rabies,human,,11,,,case_report,senegal,dakar,,west_sudanian_savanna,14.71831529,-17.46445764,
79,156,,,1986_2005,all_months,both,rabies,human,,9,,,case_report,senegal,fatick,,west_sudanian_savanna,14.33902723,-16.41093527,
79,157,,,1986_2005,all_months,both,rabies,human,,6,,,case_report,senegal,kaolack,,west_sudanian_savanna,14.16557377,-16.07617531,
79,158,,,1986_2005,all_months,both,rabies,human,,1,,,case_report,senegal,tambacounda,,west_sudanian_savanna,13.77189409,-13.66844694,
79,159,,,1986_2005,all_months,both,rabies,human,,2,,,case_report,senegal,kolda,,guinean_forest_savanna_mosaic,12.89986189,-14.94038929,
82,160,,,1997_1998,all_months,both,trypanosomiasis,animal,,,,7.5,prevalence,gambia,niamina,,west_sudanian_savanna,13.66666667,-14.96666667,
82,161,,,1997_1998,all_months,both,trypanosomiasis,animal,,,,17.1,prevalence,gambia,bansang,,west_sudanian_savanna,,,
83,162,76,,1987_1988,november_february,dry,rift_valley_fever,animal,37,,8,,,senegal,saint_louis,,sahelian_acacia_savanna,15.8792355,-14.21706495,
83,163,77,,1987_1989,november_february,dry,rift_valley_fever,animal,9,,2,,,senegal,saint_louis,,sahelian_acacia_savanna,15.2958918,-13.95508802,
83,164,78,,1987_1990,november_february,dry,rift_valley_fever,animal,16,,0,,,senegal,saint_louis,,sahelian_acacia_savanna,15.60354408,-13.31420507,
83,165,79,,1987_1991,november_february,dry,rift_valley_fever,animal,30,,1,,,senegal,saint_louis,,sahelian_acacia_savanna,14.67378299,-13.35401068,
83,166,80,,1987_1992,november_february,dry,rift_valley_fever,animal,41,,8,,,senegal,saint_louis,,sahelian_acacia_savanna,15.8792355,-14.21706495,
83,167,81,,1987_1993,november_february,dry,rift_valley_fever,animal,15,,2,,,senegal,saint_louis,,sahelian_acacia_savanna,15.2958918,-13.95508802,
83,168,82,,1987_1994,november_february,dry,rift_valley_fever,animal,20,,0,,,senegal,saint_louis,,sahelian_acacia_savanna,15.60354408,-13.31420507,
83,169,83,,1987_1995,november_february,dry,rift_valley_fever,animal,37,,5,,,senegal,saint_louis,,sahelian_acacia_savanna,14.67378299,-13.35401068,
83,170,84,,1987_1996,november_february,dry,rift_valley_fever,animal,78,,3,,,senegal,louga,,sahelian_acacia_savanna,15.76439152,-16.44606756,
83,171,85,,1987_1997,november_february,dry,rift_valley_fever,animal,193,,11,,,senegal,louga,,sahelian_acacia_savanna,15.61459741,-16.22886733,
83,172,86,,1987_1998,november_february,dry,rift_valley_fever,animal,60,,24,,,senegal,louga,,sahelian_acacia_savanna,15.39348472,-15.10948433,
83,173,87,,1987_1999,november_february,dry,rift_valley_fever,animal,60,,1,,,senegal,louga,,sahelian_acacia_savanna,15.50408663,-15.99071053,
83,174,88,,1987_2000,november_february,dry,rift_valley_fever,animal,76,,9,,,senegal,louga,,sahelian_acacia_savanna,15.76439152,-16.44606756,
83,175,89,,1987_2001,november_february,dry,rift_valley_fever,animal,158,,8,,,senegal,louga,,sahelian_acacia_savanna,15.61459741,-16.22886733,
83,176,90,,1987_2002,november_february,dry,rift_valley_fever,animal,55,,17,,,senegal,louga,,sahelian_acacia_savanna,15.39348472,-15.10948433,
83,177,91,,1987_2003,november_february,dry,rift_valley_fever,animal,60,,2,,,senegal,louga,,sahelian_acacia_savanna,15.50408663,-15.99071053,
83,178,92,,1987_2004,november_february,dry,rift_valley_fever,animal,48,,2,,,senegal,thies,,guinean_forest_savanna_mosaic,14.7903872,-16.93651373,
83,179,93,,1987_2005,november_february,dry,rift_valley_fever,animal,47,,1,,,senegal,thies,,guinean_forest_savanna_mosaic,14.7903872,-16.93651373,
83,180,94,,1987_2006,november_february,dry,rift_valley_fever,animal,44,,6,,,senegal,diourbel,,west_sudanian_savanna,14.86669404,-15.8992259,
83,181,95,,1987_2007,november_february,dry,rift_valley_fever,animal,30,,0,,,senegal,diourbel,,west_sudanian_savanna,14.86669404,-15.8992259,
83,182,96,,1987_2008,november_february,dry,rift_valley_fever,animal,41,,3,,,senegal,fatick,,west_sudanian_savanna,14.1258715,-16.46652156,
83,183,97,,1987_2009,november_february,dry,rift_valley_fever,animal,42,,9,,,senegal,fatick,,west_sudanian_savanna,14.1258715,-16.46652156,
83,184,98,,1987_2010,november_february,dry,rift_valley_fever,animal,66,,3,,,senegal,kaolack,,west_sudanian_savanna,14.16555105,-16.07527076,
83,185,99,,1987_2011,november_february,dry,rift_valley_fever,animal,33,,0,,,senegal,kaolack,,west_sudanian_savanna,14.51330134,-14.71843732,
83,186,100,,1987_2012,november_february,dry,rift_valley_fever,animal,53,,11,,,senegal,kaolack,,west_sudanian_savanna,14.16555105,-16.07527076,
